,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,GenNo,InvSimpson,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW
16,C,14,2,135,EDGE,10,0,0.1,0.3,0.6,0,0,0,0,0,0,1.20963669037667,-0.0998510111143319,-0.00395534054973747,-1.07743101935462,3,1.85185185185185,0.42,0.4,-0.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
17,C,15,5,151,CORE,18,0.06,0,0.5,0.17,0,0.28,0,0,0,0,0.504443642419235,-0.505087475992924,-0.405382852942651,-0.664703110207179,4,1.55769230769231,0.327777777777778,0.277777777777778,-0.277777777777778,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.472858684450003,-0.451537945297408,0.475089251252504,-0.525101726901706,0.473196067962204,-0.476409782158864,0.509984015827859,-0.497663392597272,0.604566143461029,-0.687656885485485,0.677392186405159,-0.660309159875587,0.644819393121045,-0.691223228709429,0.708460776291379,-0.686463226312888
18,C,15,5,151,EDGE,16,0,0,0,0.13,0,0.13,0.38,0,0.06,0.31,-0.565232774936873,0.57622663585341,-0.300803648807577,-0.190633461691145,5,1.37634408602151,0.353171875000001,0.281406250000003,-0.3125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.536461999238839,-0.528735898838677,0.502236776644917,-0.504759002094449,0.504658192609313,-0.492032003948193,0.54589838313968,-0.511723617994522,0.74299332134345,-0.681882922808609,0.712793228766181,-0.733037164320511,0.740952709138505,-0.733826915929368,0.774908590951463,-0.682485211322447
19,C,16,2,220,CORE,10,0,0.2,0.7,0.1,0,0,0,0,0,0,0.567104499171906,-0.952093839194112,-0.206468776696325,-1.08461389281699,3,2.17391304347826,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
20,C,16,2,220,EDGE,10,0.1,0,0,0.1,0.1,0.3,0,0.3,0,0.1,-0.0558723644194281,-0.0851835199411229,0.300605881780092,0.179571836559106,6,1.28205128205128,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
21,C,18,3,60,CORE,11,0,0,0,0,0.09,0.27,0,0.27,0.27,0.09,-0.644403915305701,-0.162264474154539,-0.0587368071636086,0.204280921269638,5,1.31521739130435,0.413704545454547,0.409318181818187,-0.409318181818182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.654595542548839,-0.634754504042166,0.608777700599355,-0.689676273932045,0.647318449195653,-0.552848735929293,0.680005895624503,-0.60336137083859,0.881259566629983,-0.952433339844478,0.917634207730988,-0.932725855337313,0.926727301393283,-0.84011433276436,0.875167832539419,-0.89141092139181
22,C,18,3,60,EDGE,10,0.1,0,0,0.2,0.1,0,0,0,0.6,0,-0.251425640025711,0.450731816128929,-0.741230819020907,0.258583444645112,4,1.72413793103448,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
23,C,23,1,152,CORE,11,0.27,0,0.55,0.18,0,0,0,0,0,0,0.843393341231557,-0.0285651502351429,-0.435720314959142,-0.450366166090231,3,1.68055555555556,0.413704545454547,0.409318181818187,-0.409318181818182,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.654595542548839,-0.634754504042166,0.608777700599355,-0.689676273932045,0.647318449195653,-0.552848735929293,0.680005895624503,-0.60336137083859,0.881259566629983,-0.952433339844478,0.917634207730988,-0.932725855337313,0.926727301393283,-0.84011433276436,0.875167832539419,-0.89141092139181
24,C,23,1,152,EDGE,10,0,0,0.1,0.3,0,0.4,0,0.2,0,0,0.304504386300858,-0.300796721345664,0.0735693342251282,-0.351960799655843,4,1.42857142857143,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.699906125426298,-0.648119427602497,0.6520114136062,-0.72334224195869,0.644631514444934,-0.624192292154159,0.682552550761159,-0.664505581186964,0.984785343599358,-0.973890232530531,0.846595972993738,-0.904050460362582,0.89902913025271,-0.963580288024433,0.854761942021339,-0.937634344593364
25,C,24,1,155,CORE,16,0.44,0,0,0,0,0,0.06,0,0.5,0,-0.222930734394146,0.813696223618741,-1.0358245831654,1.09610649035678,3,1.80281690140845,0.353171875000001,0.281406250000003,-0.3125,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.536461999238839,-0.528735898838677,0.502236776644917,-0.504759002094449,0.504658192609313,-0.492032003948193,0.54589838313968,-0.511723617994522,0.74299332134345,-0.681882922808609,0.712793228766181,-0.733037164320511,0.740952709138505,-0.733826915929368,0.774908590951463,-0.682485211322447
